Date,Location,Series_Complete_Cumulative
12/22/2020,RI,3
12/07/2021,IL,7985562
07/29/2021,IA,1589914
09/20/2021,RI,722398
01/04/2021,AL,356
03/17/2021,NM,412535
07/13/2021,IL,6746247
07/30/2021,VA,4791361
08/13/2021,MD,3656565
08/01/2021,MP,29642
11/18/2021,IN,3399456
03/27/2021,MP,11493
02/25/2021,GU,22058
03/02/2021,VA,871104
10/08/2021,HI,837848
03/03/2021,CT,396502
01/22/2021,ME,21197
09/13/2021,MD,3822114
12/04/2021,WA,5034687
12/10/2021,VT,471636
02/20/2021,LA,335070
07/08/2021,CO,3109071
09/03/2021,ME,902631
04/19/2021,KS,874040
06/29/2021,AL,1649814
07/01/2021,RI,644346
12/19/2020,NM,142
11/14/2021,NY,13271906
08/01/2021,KY,1936529
01/04/2021,AZ,2095
05/14/2021,UT,1140116
07/26/2021,IN,2991285
04/12/2021,CA,10050293
04/23/2021,IN,1818325
07/17/2021,KS,1331894
08/13/2021,GU,102794
08/01/2021,HI,767454
01/01/2021,US,38217
09/04/2021,FM,35375
05/02/2021,AR,874401
11/26/2021,NH,882733
03/04/2021,TX,2719930
05/18/2021,VA,3762400
11/06/2021,WV,1229236
12/02/2021,AK,401490
03/23/2021,MA,1177390
06/02/2021,MP,23075
04/01/2021,IN,1286458
04/22/2021,HI,504073
06/03/2021,HI,693801
08/05/2021,NM,1175711
01/24/2021,NV,28840
09/03/2021,MN,3315316
10/03/2021,HI,832855
07/31/2021,CO,3201188
02/09/2021,AZ,263148
09/05/2021,IL,7270817
07/19/2021,VT,423418
04/05/2021,SD,228870
04/06/2021,GA,1562062
08/13/2021,CO,3253104
10/27/2021,MH,20558
04/01/2021,TX,5131006
03/25/2021,AS,12802
04/25/2021,ME,523363
01/21/2021,MO,79124
03/05/2021,MS,293429
08/07/2021,VI,40774
07/07/2021,CA,20517217
01/25/2021,CO,108220
01/23/2021,IA,36028
09/14/2021,MP,33439
05/11/2021,RP,9140
09/07/2021,OK,1812389
10/01/2021,MP,34189
10/12/2021,NE,1080194
08/05/2021,MN,3193264
08/28/2021,MS,1179999
10/21/2021,NM,1302830
05/03/2021,SC,1575119
05/05/2021,MI,3636477
09/10/2021,VT,436844
07/18/2021,DC,401166
04/02/2021,MD,1252259
08/01/2021,GU,100741
09/09/2021,AZ,3648147
09/17/2021,LA,2098446
11/25/2021,UT,1793097
03/03/2021,WI,623736
06/15/2021,OK,1521099
08/17/2021,ND,332733
11/19/2021,FL,13137653
07/23/2021,KY,1918368
12/19/2020,CO,246
03/30/2021,AZ,1381772
04/17/2021,CT,1200996
09/19/2021,KS,1493369
05/01/2021,MH,13338
08/16/2021,GU,103197
07/07/2021,IN,2918590
11/17/2021,IL,7789304
12/24/2020,US,14949
07/11/2021,MD,3508613
10/30/2021,PA,7322116
02/19/2021,US,21759091
05/08/2021,OK,1357687
03/25/2021,DE,158463
06/09/2021,CO,2879334
11/13/2021,IN,3390956
11/28/2021,RP,15758
01/09/2021,MO,21676
11/19/2021,NM,1329899
01/13/2021,MO,43801
11/04/2021,NM,1315839
01/26/2021,VA,116039
06/02/2021,KY,1714281
07/02/2021,CO,3084663
09/08/2021,GU,109303
11/13/2021,VT,452461
06/02/2021,MO,2314745
07/17/2021,IL,6786472
06/18/2021,MI,4687313
07/23/2021,FL,10578063
06/27/2021,NC,4562740
01/22/2021,NY,216997
05/26/2021,IA,1409584
04/08/2021,US,77374913
10/05/2021,US,187615891
10/15/2021,WV,1192173
06/20/2021,CO,3003797
12/13/2020,CT,33
05/25/2021,ID,607758
07/28/2021,KY,1928060
12/31/2020,IN,1021
05/27/2021,MP,22339
01/27/2021,PA,243317
09/20/2021,MS,1293808
11/28/2021,OH,6224121
09/03/2021,KS,1453934
09/04/2021,AS,26368
03/04/2021,NJ,902759
07/03/2021,NM,1130677
05/19/2021,PR,1573341
02/19/2021,ID,103925
06/12/2021,MD,3277652
08/02/2021,NV,1389099
09/27/2021,MI,5247091
06/18/2021,NJ,4899154
08/02/2021,ND,327067
01/19/2021,NV,22169
05/24/2021,MH,14604
03/16/2021,KS,404867
06/19/2021,VA,4484339
05/28/2021,TN,2396942
12/06/2021,GU,125146
05/16/2021,VA,3691278
05/18/2021,ND,287331
07/12/2021,ME,860327
06/03/2021,MI,4410755
02/02/2021,TX,767606
06/12/2021,OR,2202081
05/22/2021,TN,2344402
07/14/2021,IN,2949048
07/30/2021,AR,1151600
01/10/2021,WI,16509
02/04/2021,US,10267508
09/18/2021,AS,27284
03/06/2021,NM,322418
04/09/2021,OH,2800832
01/28/2021,CO,138994
03/06/2021,US,35712857
07/25/2021,MA,4416304
12/17/2020,SD,2
04/26/2021,VT,241558
08/16/2021,CA,21794948
11/14/2021,CA,24690122
01/29/2021,MH,344
11/13/2021,MI,5417877
11/30/2021,WA,4986110
06/21/2021,PA,6237424
11/21/2021,DE,599015
12/23/2020,SC,91
10/02/2021,NM,1282759
02/18/2021,RP,2411
10/31/2021,NH,869185
02/11/2021,NY,984336
11/28/2021,MN,3533198
08/08/2021,OR,2413089
03/04/2021,UT,297613
01/28/2021,HI,37001
08/17/2021,MI,5009845
07/21/2021,VA,4738475
12/05/2021,GU,125103
07/30/2021,ND,326673
11/24/2021,PR,2377509
06/29/2021,OH,5332376
10/10/2021,CA,23824052
10/20/2021,AS,30850
11/23/2021,SC,2642335
04/07/2021,VI,22510
10/03/2021,KY,2216528
01/03/2021,GU,2
09/12/2021,MI,5166831
01/18/2021,CT,31910
10/29/2021,NM,1310757
02/20/2021,MO,377173
01/16/2021,TN,59843
08/13/2021,RI,679253
01/11/2021,SC,20536
08/17/2021,NJ,5413316
12/15/2020,CO,161
01/27/2021,NH,29408
07/31/2021,ND,326753
03/20/2021,DE,145752
04/16/2021,ID,439264
05/21/2021,AZ,2824392
01/23/2021,WI,73735
05/19/2021,VI,32339
11/25/2021,KS,1593385
02/19/2021,WI,390254
06/25/2021,PR,1933179
02/25/2021,OH,956505
03/24/2021,NE,338140
01/16/2021,CA,312611
03/15/2021,RP,3147
03/11/2021,LA,594203
06/07/2021,NV,1217582
04/06/2021,UT,631335
05/05/2021,TX,9261167
09/28/2021,MA,4698477
06/28/2021,MD,3435119
08/24/2021,LA,1930819
12/04/2021,AZ,4038294
05/22/2021,MD,2912732
06/22/2021,ND,312097
03/14/2021,WY,87018
08/29/2021,GU,106587
02/08/2021,DE,29678
10/11/2021,SC,2520801
10/21/2021,NJ,5888637
07/26/2021,VT,424948
02/07/2021,ID,49757
04/11/2021,NM,655514
02/09/2021,FL,1186329
02/25/2021,ID,133478
05/13/2021,GU,71322
06/20/2021,DE,492563
05/02/2021,MA,2752737
11/15/2021,AR,1482783
03/27/2021,HI,299229
06/01/2021,VT,372170
06/22/2021,VA,4513746
09/02/2021,WA,4509606
01/02/2021,MD,823
12/15/2021,MT,567395
07/21/2021,NM,1157186
02/02/2021,AZ,156173
02/02/2021,MD,141558
09/29/2021,IA,1720211
04/12/2021,NY,5565810
02/11/2021,RI,50704
09/26/2021,MA,4690948
10/20/2021,NH,863926
05/25/2021,AS,19517
